# Calibration data for test jig_1
# Format: desired_angle, actual_angle, error
[SHOULDER]
0,0.00,0.00
10,8.53,-1.47
20,18.25,-1.75
30,28.51,-1.49
40,38.64,-1.36
50,48.90,-1.10
60,58.62,-1.38
70,68.62,-1.38
80,78.48,-1.52
90,88.60,-1.40
100,98.73,-1.27
110,108.45,-1.55
120,118.98,-1.02
130,128.84,-1.16
140,139.10,-0.90
150,148.96,-1.04
160,158.95,-1.05
170,168.68,-1.32
180,179.07,-0.93
[ELBOW]
0,0.00,0.00
10,8.85,-1.15
20,18.78,-1.22
30,29.37,-0.63
40,38.90,-1.10
50,49.23,-0.77
60,59.42,-0.58
70,69.61,-0.39
80,79.67,-0.33
90,89.73,-0.27
100,99.93,-0.07
110,110.12,0.12
120,120.18,0.18
130,129.84,-0.16
140,140.70,0.70
150,150.76,0.76
160,160.82,0.82
170,171.01,1.01
180,180.00,0.00
